,score,pval
my,538.64058,0.0
http,399.165372,0.0
depression,389.422008,0.0
cant,384.462867,0.0
me,366.602834,0.0
obama,342.583385,0.0
bernie,259.38846,0.0
government,251.133818,0.0
movie,249.687099,0.0
feeling,247.736275,0.0
submission,242.537905,0.0
anxiety,234.420415,0.0
vote,211.641199,0.0
myself,208.963902,0.0
sanders,207.965749,0.0
know,207.866471,0.0
war,206.926161,0.0
republicans,197.352123,0.0
feel,196.281275,0.0
relationship,188.985971,0.0
she,184.947432,0.0
israel,184.399499,0.0
article,182.173208,0.0
her,181.546849,0.0
okay,179.556434,0.0
nbsp,176.884503,0.0
republican,171.754177,0.0
clinton,166.810209,0.0
im,162.664125,0.0
boyfriend,159.668555,0.0
am,158.063178,0.0
iraq,154.991943,0.0
gop,152.884941,0.0
removed,152.117483,0.0
and,151.652261,0.0
president,146.657231,0.0
news,146.086151,0.0
peerreviewed,143.826953,0.0
mods,143.109152,0.0
politics,142.378594,0.0
film,138.207738,0.0
gun,138.186697,0.0
police,137.958921,0.0
iran,136.532437,0.0
someone,135.782144,0.0
trailer,132.07965,0.0
movies,131.322647,0.0
because,128.374684,0.0
everythingscience,125.810699,0.0
democrats,125.751362,0.0
hillary,123.715177,0.0
sex,119.136316,0.0
law,117.862668,0.0
sometimes,117.831362,0.0
disorder,116.472942,0.0
bush,116.094553,0.0
rand,115.438627,0.0
depressed,113.128762,0.0
even,110.871214,0.0
states,109.589841,0.0
the,108.723543,0.0
congress,108.704064,0.0
campaign,106.936134,0.0
evidence,106.104656,0.0
american,104.851017,0.0
conspiracy,103.898849,0.0
ive,103.346035,0.0
state,102.16186,0.0
book,101.827877,0.0
nuclear,101.159607,0.0
so,100.598456,0.0
new,100.428689,0.0
isis,100.060806,0.0
market,100.012099,0.0
friends,99.348097,0.0
climate,96.875151,0.0
hes,96.392562,0.0
to,96.312044,0.0
have,96.140006,0.0
definitely,95.835699,0.0
global,95.344881,0.0
bitcoin,95.163636,0.0
feelings,94.999764,0.0
husband,93.971397,0.0
glad,93.595296,0.0
link,92.364566,0.0
california,91.900836,0.0
medication,90.740265,0.0
therapy,90.722446,0.0
released,90.515268,0.0
political,90.38176,0.0
economy,90.271994,0.0
election,89.790655,0.0
story,87.901215,0.0
felt,86.21202,0.0
want,85.721346,0.0
pain,85.365415,0.0
power,85.010383,0.0
relationships,84.087771,0.0
paul,83.900858,0.0
trump,83.8882,0.0
india,83.450485,0.0
parents,82.638812,0.0
therapist,81.769819,0.0
bill,81.045997,0.0
review,80.60952,0.0
weapons,79.82477,0.0
asexual,79.597544,0.0
with,79.540109,0.0
million,78.708296,0.0
women,78.224648,0.0
media,78.045797,0.0
had,77.410349,0.0
panic,77.403539,0.0
cia,76.922952,0.0
science,76.820155,0.0
alone,76.512955,0.0
talk,76.147117,0.0
russia,76.122347,0.0
security,75.510866,0.0
helps,74.826314,0.0
tax,74.785217,0.0
go,74.326758,0.0
design,73.847808,0.0
friend,73.688172,0.0
him,73.376422,0.0
acne,73.131669,0.0
senate,72.59441,0.0
federal,72.591794,0.0
being,72.554981,0.0
nsa,72.338973,0.0
conservative,72.187311,0.0
skin,72.137463,0.0
history,72.113147,0.0
source,72.086869,0.0
americans,71.831576,0.0
director,71.504687,0.0
national,71.298595,0.0
think,71.002516,0.0
world,69.187207,0.0
military,69.14606,0.0
party,68.849459,0.0
makeup,68.008694,0.0
films,67.906875,0.0
china,67.506559,0.0
having,66.929051,0.0
users,66.484559,0.0
technology,65.681598,0.0
references,65.518022,0.0
research,65.494049,0.0
meds,65.44044,0.0
weeks,65.330535,0.0
data,65.238598,0.0
scientists,64.799516,0.0
but,64.513908,0.0
partner,64.487015,0.0
sleep,64.227871,0.0
lesbian,63.936209,0.0
public,63.743379,0.0
syria,63.726809,0.0
just,63.282739,0.0
prison,62.842726,0.0
suicidal,62.511399,0.0
scott,62.230149,0.0
civil,62.121033,0.0
vegan,61.986151,0.0
action,61.337942,0.0
awful,60.040147,0.0
get,59.122981,0.0
israeli,59.073819,0.0
billion,58.813841,0.0
whenever,58.360204,0.0
microsoft,58.085792,0.0
attracted,57.945034,0.0
heroes,57.756256,0.0
crime,57.582374,0.0
cerave,57.252941,0.0
much,57.034146,0.0
diagnosed,56.660535,0.0
industry,56.61754,0.0
mass,56.401106,0.0
emotionally,56.334034,0.0
dating,55.788236,0.0
supreme,55.540462,0.0
policy,55.466051,0.0
mmr,55.433647,0.0
submitted,55.239963,0.0
