,score,pval
depression,415.209787,0.0
my,372.324799,0.0
cant,357.001492,0.0
anxiety,251.397557,0.0
me,248.075753,0.0
feeling,238.609903,0.0
http,192.161278,0.0
feel,181.412424,0.0
relationship,176.784695,0.0
okay,160.583868,0.0
myself,158.698077,0.0
boyfriend,155.061105,0.0
she,122.693241,0.0
her,120.26639,0.0
hes,119.825807,0.0
depressed,111.130425,0.0
im,108.336852,0.0
am,107.024801,0.0
obama,104.951045,0.0
movie,103.802853,0.0
government,102.404305,0.0
know,102.383578,0.0
sex,100.852838,0.0
someone,100.851261,0.0
relationships,97.51549,0.0
glad,94.987192,0.0
sometimes,85.741026,0.0
friends,85.369856,0.0
and,83.233227,0.0
asexual,82.354793,0.0
because,80.47122,0.0
disorder,80.333232,0.0
war,79.631419,0.0
feelings,78.72875,0.0
acne,78.254433,0.0
therapist,76.433051,0.0
therapy,76.240411,0.0
the,75.558025,0.0
submission,74.993934,0.0
medication,74.81733,0.0
bernie,74.536849,0.0
pain,71.73889,0.0
vote,70.121808,0.0
article,69.717535,0.0
film,69.501374,0.0
women,68.685892,0.0
friend,68.61202,0.0
ive,65.970731,0.0
sanders,64.397659,0.0
removed,64.387438,0.0
talk,63.072029,0.0
suicidal,62.494782,0.0
republicans,62.315327,0.0
makeup,60.501807,0.0
news,60.2251,0.0
think,59.347677,0.0
mmr,59.180428,0.0
meds,58.979833,0.0
cerave,58.693069,0.0
police,57.856612,0.0
republican,57.851929,0.0
weeks,57.149363,0.0
israel,57.094631,0.0
partner,57.077128,0.0
husband,57.056014,0.0
heroes,56.647689,0.0
sleep,55.13108,0.0
diagnosed,54.447613,0.0
alone,54.405567,0.0
gun,54.248788,0.0
attracted,53.875789,0.0
medications,53.55212,0.0
attractive,53.207278,0.0
mods,53.024726,0.0
dating,52.990246,0.0
have,52.393813,0.0
president,51.437199,0.0
nbsp,51.370441,0.0
girlfriend,50.889385,0.0
so,50.466367,0.0
lotion,50.389011,0.0
clinton,50.224126,0.0
movies,49.750844,0.0
american,49.706927,0.0
panic,49.214515,0.0
politics,48.565346,0.0
book,48.384717,0.0
to,48.010042,0.0
law,47.97258,0.0
keto,46.83766,0.0
situations,46.505461,0.0
go,45.909508,0.0
awful,45.376252,0.0
iraq,45.318339,0.0
week,45.146914,0.0
gop,45.045287,0.0
dad,45.006066,0.0
trailer,44.378606,0.0
doctors,44.336194,0.0
new,44.270881,0.0
being,44.172735,0.0
whenever,44.137113,0.0
state,43.841131,0.0
him,43.819024,0.0
mental,43.792602,0.0
skin,43.651017,0.0
mom,43.474761,0.0
partners,43.458631,0.0
with,43.276871,0.0
having,43.235074,0.0
emotionally,42.422631,0.0
depressive,42.360489,0.0
evidence,42.33453,0.0
peerreviewed,42.205414,0.0
link,42.043826,0.0
experiences,41.906483,0.0
sleeping,41.679134,0.0
states,41.635771,0.0
america,41.31173,0.0
hillary,41.095162,0.0
bkb,40.970767,0.0
moisturizer,40.941984,0.0
films,40.892532,0.0
iran,40.646305,0.0
sick,40.511236,0.0
emotional,40.485609,0.0
actually,40.339282,0.0
uncomfortable,40.229699,0.0
bush,39.973681,0.0
market,39.939785,0.0
therapists,38.746334,0.0
story,38.718279,0.0
girls,38.345667,0.0
lesbian,37.936434,0.0
emotions,37.838536,0.0
aha,37.764386,0.0
sexual,37.602793,0.0
democrats,37.462929,0.0
campaign,37.45075,0.0
power,37.398981,0.0
conversations,37.384452,0.0
zoloft,37.362397,0.0
queer,37.361057,0.0
