,score,pval
my,498.377739,0.0
cant,447.718872,0.0
depression,401.70736,0.0
me,337.331921,0.0
http,333.769699,0.0
feeling,273.436051,0.0
anxiety,249.600559,0.0
obama,242.789653,0.0
government,204.755378,0.0
movie,200.596647,0.0
feel,198.962338,0.0
myself,197.773711,0.0
okay,190.92309,0.0
know,189.942296,0.0
relationship,186.109341,0.0
bernie,178.65717,0.0
submission,171.018003,0.0
she,169.385711,0.0
her,165.985362,0.0
war,160.705271,0.0
boyfriend,160.27369,0.0
vote,156.100459,0.0
sanders,147.778349,0.0
am,146.464294,0.0
article,144.769553,0.0
republicans,141.21809,0.0
im,140.16111,0.0
hes,132.478707,0.0
someone,132.315313,0.0
and,132.11944,0.0
israel,131.467341,0.0
republican,125.106862,0.0
removed,122.619311,0.0
nbsp,122.598187,0.0
film,121.713994,0.0
news,117.176516,0.0
because,115.895661,0.0
sex,115.088855,0.0
clinton,114.252879,0.0
president,113.20307,0.0
police,110.761667,0.0
depressed,110.711039,0.0
sometimes,110.37605,0.0
gun,109.651928,0.0
mods,109.352955,0.0
gop,109.064453,0.0
glad,108.973771,0.0
disorder,107.6465,0.0
iraq,107.081061,0.0
politics,105.120687,0.0
the,101.278766,0.0
peerreviewed,100.025591,0.0
friends,97.983733,0.0
relationships,97.403859,0.0
movies,95.988023,0.0
iran,95.268615,0.0
trailer,95.234829,0.0
law,93.738519,0.0
hillary,93.113797,0.0
ive,92.64366,0.0
feelings,90.106928,0.0
democrats,88.451879,0.0
american,87.51122,0.0
husband,87.11466,0.0
bush,86.821059,0.0
everythingscience,86.551088,0.0
therapy,85.290701,0.0
medication,84.859406,0.0
evidence,84.757045,0.0
new,84.529342,0.0
book,84.137633,0.0
state,83.498492,0.0
have,83.277394,0.0
so,82.255014,0.0
pain,82.124478,0.0
to,81.824136,0.0
asexual,81.446136,0.0
therapist,80.433096,0.0
rand,79.881097,0.0
campaign,79.774867,0.0
market,79.50488,0.0
women,78.631512,0.0
friend,77.704549,0.0
states,77.578765,0.0
congress,77.539492,0.0
think,77.365342,0.0
link,77.069576,0.0
acne,76.942123,0.0
nuclear,76.075277,0.0
conspiracy,75.870806,0.0
california,74.374488,0.0
even,73.919854,0.0
story,72.180422,0.0
go,71.992056,0.0
alone,71.478422,0.0
released,71.271648,0.0
isis,71.159072,0.0
paul,70.79125,0.0
power,70.66018,0.0
climate,70.282658,0.0
talk,70.206921,0.0
with,69.16245,0.0
weeks,68.491729,0.0
definitely,68.384909,0.0
election,67.877679,0.0
global,67.849054,0.0
economy,66.88232,0.0
panic,66.468275,0.0
makeup,66.033343,0.0
him,65.443222,0.0
bitcoin,65.154451,0.0
sleep,65.061785,0.0
being,64.800368,0.0
million,63.957035,0.0
films,63.741757,0.0
bill,63.64037,0.0
federal,63.545474,0.0
skin,63.508629,0.0
parents,63.480594,0.0
design,63.297049,0.0
meds,63.196689,0.0
india,62.977559,0.0
