,score,pval
my,514.367918,0.0
cant,428.487946,0.0
depression,397.940755,0.0
http,358.314044,0.0
me,348.832282,0.0
obama,277.790263,0.0
feeling,262.42338,0.0
anxiety,244.684578,0.0
movie,218.996725,0.0
government,215.586206,0.0
bernie,204.044226,0.0
myself,202.444773,0.0
know,201.141969,0.0
feel,199.32678,0.0
submission,196.073163,0.0
okay,188.202603,0.0
relationship,188.081284,0.0
war,184.234206,0.0
she,175.680841,0.0
vote,172.699984,0.0
her,172.151177,0.0
sanders,169.381387,0.0
boyfriend,164.234878,0.0
article,160.915334,0.0
republicans,158.042508,0.0
am,150.9033,0.0
israel,149.083743,0.0
im,148.445743,0.0
nbsp,140.655307,0.0
and,139.56584,0.0
removed,136.192419,0.0
republican,135.762513,0.0
someone,134.126599,0.0
clinton,130.422008,0.0
news,129.881771,0.0
film,125.539028,0.0
gop,122.456654,0.0
iraq,122.274124,0.0
president,121.139058,0.0
police,120.807111,0.0
because,120.70787,0.0
hes,120.143264,0.0
politics,119.499493,0.0
gun,118.763785,0.0
mods,118.691229,0.0
peerreviewed,114.696135,0.0
sex,114.659368,0.0
sometimes,113.238409,0.0
depressed,112.847933,0.0
disorder,110.24461,0.0
iran,109.592421,0.0
movies,106.654076,0.0
trailer,106.325698,0.0
the,104.483214,0.0
glad,104.406945,0.0
hillary,102.054024,0.0
law,102.007994,0.0
democrats,101.773835,0.0
everythingscience,99.536944,0.0
friends,98.981325,0.0
ive,96.416867,0.0
bush,95.029843,0.0
book,94.870768,0.0
feelings,94.796548,0.0
american,93.812149,0.0
rand,91.42065,0.0
evidence,91.370333,0.0
relationships,91.281609,0.0
state,90.312016,0.0
campaign,90.143987,0.0
new,89.841947,0.0
so,88.784686,0.0
congress,88.747445,0.0
have,88.346,0.0
therapy,88.22324,0.0
even,88.108473,0.0
husband,88.065401,0.0
states,87.894365,0.0
to,87.224458,0.0
nuclear,87.031132,0.0
medication,86.901379,0.0
market,85.246203,0.0
climate,84.27769,0.0
pain,84.194044,0.0
conspiracy,84.074953,0.0
link,83.21874,0.0
california,83.02174,0.0
isis,81.839354,0.0
asexual,81.009221,0.0
definitely,80.462888,0.0
therapist,79.907803,0.0
power,79.373665,0.0
global,78.416646,0.0
released,77.28143,0.0
women,77.057252,0.0
election,77.029388,0.0
story,76.825651,0.0
friend,76.178326,0.0
acne,75.582959,0.0
economy,75.425611,0.0
bitcoin,75.392858,0.0
paul,74.907894,0.0
think,74.401501,0.0
alone,73.772503,0.0
felt,73.499906,0.0
with,73.060244,0.0
go,72.612022,0.0
talk,72.31139,0.0
panic,71.430867,0.0
parents,70.331919,0.0
india,70.324902,0.0
films,70.324187,0.0
bill,69.646732,0.0
weapons,69.258028,0.0
million,69.212985,0.0
skin,68.741701,0.0
political,68.423976,0.0
him,68.416762,0.0
weeks,67.944117,0.0
makeup,67.904177,0.0
being,67.80826,0.0
trump,67.6477,0.0
want,67.536978,0.0
had,66.975461,0.0
security,66.266994,0.0
history,66.122296,0.0
cia,65.884746,0.0
media,65.839317,0.0
russia,65.697728,0.0
design,65.537822,0.0
federal,65.339662,0.0
review,65.278869,0.0
sleep,65.209265,0.0
helps,65.162302,0.0
science,64.749809,0.0
meds,64.519784,0.0
partner,63.812019,0.0
tax,63.776734,0.0
having,63.242274,0.0
national,63.115608,0.0
americans,62.764129,0.0
source,62.726591,0.0
lesbian,62.358222,0.0
suicidal,62.277219,0.0
director,62.049796,0.0
research,61.477576,0.0
world,60.875404,0.0
data,60.750425,0.0
industry,60.277015,0.0
civil,60.114256,0.0
heroes,59.588027,0.0
conservative,59.479785,0.0
users,59.281269,0.0
nsa,58.93609,0.0
party,58.934101,0.0
but,58.861842,0.0
senate,58.493141,0.0
just,58.448878,0.0
china,58.147011,0.0
attracted,57.580018,0.0
awful,57.543211,0.0
get,57.223952,0.0
military,57.200782,0.0
cerave,56.737135,0.0
whenever,56.512074,0.0
technology,56.363151,0.0
mmr,56.228188,0.0
public,56.141947,0.0
references,55.990631,0.0
dating,55.317404,0.0
diagnosed,55.28724,0.0
attractive,54.833766,0.0
scott,54.4365,0.0
medications,53.890315,0.0
prison,53.877697,0.0
dad,53.870832,0.0
girlfriend,53.718947,0.0
emotionally,52.994616,0.0
mental,52.419972,0.0
action,52.122737,0.0
scientists,51.839449,0.0
syria,51.454347,0.0
vegan,50.53442,0.0
billion,49.994386,0.0
crime,49.917046,0.0
doctors,49.838746,0.0
keto,49.505656,0.0
policy,49.497228,0.0
lotion,49.027401,0.0
emotional,49.026706,0.0
mom,48.967408,0.0
israeli,48.951194,0.0
through,48.874067,0.0
microsoft,48.804806,0.0
supreme,48.656001,0.0
com,48.358677,0.0
america,48.182864,0.0
system,48.069288,0.0
army,47.698859,0.0
situations,47.538786,0.0
washington,47.418812,0.0
mass,46.858278,0.0
sexual,46.637512,0.0
sick,45.908075,0.0
week,45.800687,0.0
girls,45.70456,0.0
yourself,45.591126,0.0
much,45.270037,0.0
uncomfortable,44.452287,0.0
launch,44.374847,0.0
submitted,44.344921,0.0
fbi,43.975837,0.0
citizens,43.821647,0.0
you,43.696948,0.0
sleeping,43.640279,0.0
unhappy,43.530007,0.0
girl,43.299762,0.0
google,42.897657,0.0
told,42.875024,0.0
experiences,42.823485,0.0
out,42.785913,0.0
routine,42.526455,0.0
physically,42.317958,0.0
actually,42.2058,0.0
months,42.115412,0.0
when,41.943613,0.0
aha,41.786601,0.0
democratic,41.579151,0.0
