,score,pval
my,527.545334,0.0
cant,407.493411,0.0
depression,391.322035,0.0
http,379.982267,0.0
me,358.531067,0.0
obama,308.84139,0.0
feeling,257.144584,0.0
anxiety,238.629616,0.0
government,235.795998,0.0
movie,233.545767,0.0
bernie,230.249462,0.0
submission,218.152609,0.0
know,207.199179,0.0
myself,206.043344,0.0
war,197.879263,0.0
feel,196.079532,0.0
vote,189.156452,0.0
relationship,187.088661,0.0
sanders,185.228503,0.0
okay,183.49968,0.0
she,180.668508,0.0
republicans,177.760073,0.0
her,177.23234,0.0
article,173.198957,0.0
israel,168.024278,0.0
boyfriend,160.568004,0.0
nbsp,158.747436,0.0
im,156.185922,0.0
am,154.684589,0.0
clinton,149.179461,0.0
republican,148.497092,0.0
and,145.931228,0.0
removed,144.141307,0.0
iraq,140.699416,0.0
gop,139.049029,0.0
news,138.319376,0.0
film,137.072847,0.0
someone,134.913737,0.0
president,132.453957,0.0
mods,129.894022,0.0
gun,129.742018,0.0
politics,129.520499,0.0
peerreviewed,129.183451,0.0
police,126.883373,0.0
because,124.848484,0.0
iran,123.705739,0.0
trailer,119.441208,0.0
movies,119.29058,0.0
sex,118.089738,0.0
disorder,115.714074,0.0
sometimes,115.673599,0.0
democrats,113.667954,0.0
everythingscience,112.626013,0.0
hillary,112.514808,0.0
depressed,112.500025,0.0
law,110.232762,0.0
hes,107.79045,0.0
bush,106.866348,0.0
the,106.856919,0.0
rand,103.882053,0.0
american,102.731956,0.0
evidence,101.346593,0.0
even,100.57194,0.0
campaign,100.524157,0.0
ive,100.081697,0.0
congress,99.230292,0.0
glad,98.911334,0.0
states,98.647536,0.0
friends,97.278103,0.0
book,97.198048,0.0
nuclear,95.714755,0.0
new,95.295417,0.0
conspiracy,95.278822,0.0
state,95.135159,0.0
so,95.012164,0.0
market,94.325976,0.0
feelings,93.243002,0.0
have,92.388879,0.0
to,91.93681,0.0
husband,91.766871,0.0
california,90.952871,0.0
isis,90.409578,0.0
climate,89.905707,0.0
therapy,89.780262,0.0
definitely,89.26959,0.0
medication,89.148515,0.0
relationships,88.554396,0.0
global,86.74728,0.0
link,86.421937,0.0
released,85.752242,0.0
bitcoin,84.754311,0.0
pain,84.672183,0.0
election,83.412196,0.0
economy,83.088204,0.0
story,82.588278,0.0
power,81.815048,0.0
felt,81.261807,0.0
asexual,80.373316,0.0
therapist,80.364903,0.0
paul,78.503851,0.0
parents,78.11058,0.0
political,78.065679,0.0
want,77.997523,0.0
women,77.56341,0.0
bill,76.652277,0.0
with,76.430964,0.0
cia,76.060297,0.0
trump,75.873476,0.0
india,75.736633,0.0
alone,75.186679,0.0
million,74.537457,0.0
talk,73.932134,0.0
friend,73.881326,0.0
panic,73.406705,0.0
go,73.227287,0.0
weapons,73.14788,0.0
acne,73.002683,0.0
had,72.655167,0.0
review,72.200983,0.0
think,71.995475,0.0
russia,71.845655,0.0
federal,71.490076,0.0
security,71.440148,0.0
skin,71.365554,0.0
him,71.131375,0.0
history,70.424818,0.0
helps,70.370565,0.0
being,70.237674,0.0
media,69.716282,0.0
films,69.299524,0.0
design,69.283356,0.0
source,69.259521,0.0
americans,69.093807,0.0
science,68.940898,0.0
makeup,68.220883,0.0
tax,67.699281,0.0
conservative,67.657046,0.0
nsa,67.18184,0.0
weeks,66.710401,0.0
director,66.192056,0.0
world,65.883036,0.0
research,65.332085,0.0
having,65.247966,0.0
sleep,64.991834,0.0
national,64.960705,0.0
party,64.611298,0.0
senate,64.448124,0.0
partner,64.358694,0.0
china,64.223507,0.0
meds,64.066742,0.0
lesbian,63.9083,0.0
data,63.812026,0.0
civil,63.766099,0.0
users,63.625542,0.0
suicidal,62.830762,0.0
but,61.783673,0.0
technology,61.673536,0.0
references,61.441395,0.0
military,60.991505,0.0
just,60.964578,0.0
industry,60.433335,0.0
scientists,59.244183,0.0
awful,59.191523,0.0
heroes,58.99562,0.0
public,58.960451,0.0
get,58.135569,0.0
attracted,57.74113,0.0
syria,57.737086,0.0
prison,57.61599,0.0
whenever,57.503903,0.0
cerave,57.188693,0.0
scott,57.070664,0.0
attractive,56.766806,0.0
action,56.5498,0.0
diagnosed,56.385834,0.0
vegan,56.064688,0.0
emotionally,55.614035,0.0
mmr,55.42802,0.0
israeli,55.184002,0.0
crime,54.941616,0.0
dating,54.864827,0.0
billion,54.271933,0.0
dad,53.709769,0.0
army,53.641483,0.0
mental,53.615922,0.0
microsoft,53.608447,0.0
policy,52.802105,0.0
girlfriend,52.778189,0.0
com,52.569139,0.0
supreme,51.254268,0.0
much,51.034345,0.0
emotional,50.832757,0.0
medications,50.780796,0.0
through,50.722259,0.0
mass,50.347527,0.0
keto,50.252762,0.0
fbi,49.716672,0.0
system,49.362619,0.0
lotion,48.806807,0.0
symptoms,47.900425,0.0
doctors,47.437391,0.0
mom,47.290861,0.0
washington,47.203986,0.0
yourself,46.926957,0.0
out,46.445499,0.0
you,46.275833,0.0
submitted,45.924546,0.0
told,45.730137,0.0
girl,45.65621,0.0
sexual,45.550761,0.0
citizens,45.497322,0.0
democratic,45.424488,0.0
launch,45.375245,0.0
situations,45.091423,0.0
america,44.75827,0.0
months,44.431989,0.0
google,44.360451,0.0
when,43.946147,0.0
carbon,43.555481,0.0
feels,43.438671,0.0
girls,43.298711,0.0
uncomfortable,42.959385,0.0
unhappy,42.87315,0.0
routine,42.827534,0.0
depressive,42.413745,0.0
sick,42.401919,0.0
by,42.392877,0.0
aha,42.362984,0.0
tell,42.155836,0.0
sister,41.600117,0.0
officer,41.551415,0.0
week,41.518762,0.0
worse,41.490435,0.0
physically,41.466477,0.0
like,41.263999,0.0
sleeping,40.768728,0.0
economic,40.492207,0.0
doctor,40.389579,0.0
anyway,40.144562,0.0
mum,39.689694,0.0
experiences,39.622667,0.0
moisturizer,39.304925,0.0
apple,39.28583,0.0
solar,39.28407,0.0
court,39.270491,0.0
united,39.238269,0.0
bkb,39.135678,0.0
killed,38.845232,0.0
rights,38.604777,0.0
problems,38.477489,0.0
queer,38.336483,0.0
help,37.89899,0.0
cry,37.624559,0.0
life,37.345065,0.0
zoloft,37.337373,0.0
mother,37.26719,0.0
emotions,37.262234,0.0
telling,36.952531,0.0
la,36.927041,0.0
report,36.894194,0.0
antidepressants,36.707853,0.0
conversations,36.398958,0.0
site,36.335483,0.0
til,36.263265,0.0
hair,36.217362,0.0
actually,35.972213,0.0
us,35.852662,0.0
tired,35.824187,0.0
corporate,35.618713,0.0
partners,35.610494,0.0
together,35.287345,0.0
greece,35.207805,0.0
pcos,35.053636,0.0
happy,34.899892,0.0
family,34.80215,0.0
really,34.386739,0.0
cars,34.195792,0.0
