,score,pval
my,478.524421,0.0
cant,459.579627,0.0
depression,404.811643,0.0
me,322.855109,0.0
http,305.362447,0.0
feeling,273.667823,0.0
anxiety,256.587511,0.0
obama,207.8933,0.0
feel,197.191742,0.0
myself,191.98158,0.0
okay,190.426194,0.0
relationship,187.243175,0.0
government,185.376652,0.0
movie,182.796567,0.0
know,176.776624,0.0
she,161.840523,0.0
boyfriend,160.634144,0.0
her,158.664778,0.0
bernie,151.815411,0.0
submission,148.54041,0.0
hes,144.174546,0.0
war,142.84644,0.0
am,140.43417,0.0
vote,137.988628,0.0
im,134.136158,0.0
article,131.014402,0.0
someone,129.460153,0.0
sanders,127.825193,0.0
and,123.117297,0.0
republicans,120.625836,0.0
israel,112.989894,0.0
glad,112.543748,0.0
sex,112.512494,0.0
depressed,111.35721,0.0
because,109.8223,0.0
film,108.7375,0.0
removed,108.642669,0.0
sometimes,106.700673,0.0
republican,105.568613,0.0
nbsp,104.605322,0.0
disorder,103.041103,0.0
news,101.533869,0.0
police,98.372311,0.0
relationships,98.079591,0.0
friends,97.910951,0.0
clinton,97.596902,0.0
the,97.427474,0.0
gun,97.210884,0.0
president,96.139728,0.0
mods,94.638228,0.0
gop,92.815389,0.0
iraq,92.552579,0.0
politics,91.656445,0.0
ive,87.041842,0.0
feelings,86.886286,0.0
peerreviewed,85.489203,0.0
therapy,84.481297,0.0
movies,84.418182,0.0
law,84.352903,0.0
medication,83.064597,0.0
iran,82.908856,0.0
trailer,82.366854,0.0
pain,82.28278,0.0
hillary,81.388481,0.0
american,80.253122,0.0
friend,79.966495,0.0
asexual,79.762816,0.0
therapist,79.540737,0.0
think,79.426534,0.0
husband,79.343941,0.0
women,79.068654,0.0
acne,78.451089,0.0
book,78.089788,0.0
have,77.589778,0.0
democrats,77.205173,0.0
bush,76.573248,0.0
new,75.970386,0.0
so,75.506638,0.0
evidence,75.500143,0.0
to,75.382027,0.0
state,74.614961,0.0
everythingscience,73.686777,0.0
link,71.144099,0.0
market,70.560414,0.0
campaign,69.768343,0.0
alone,69.545421,0.0
states,69.24123,0.0
