,score,pval
cant,454.396633,0.0
my,452.984424,0.0
depression,415.830931,0.0
me,304.853013,0.0
http,273.533659,0.0
feeling,271.285495,0.0
anxiety,255.35175,0.0
feel,198.581432,0.0
okay,192.113138,0.0
relationship,186.154325,0.0
myself,184.303245,0.0
obama,175.185378,0.0
government,158.730305,0.0
boyfriend,158.299296,0.0
movie,157.97456,0.0
know,154.574429,0.0
she,152.300142,0.0
hes,150.292594,0.0
her,149.100257,0.0
am,132.683258,0.0
bernie,125.847132,0.0
im,125.546319,0.0
war,124.844842,0.0
submission,123.884005,0.0
someone,123.756128,0.0
glad,116.567523,0.0
depressed,114.559571,0.0
vote,114.468317,0.0
and,112.574701,0.0
article,112.483061,0.0
sex,112.464003,0.0
sanders,107.263036,0.0
relationships,103.695333,0.0
republicans,102.445474,0.0
because,102.39777,0.0
film,102.288991,0.0
sometimes,101.477304,0.0
removed,98.748618,0.0
disorder,95.89405,0.0
friends,94.695796,0.0
israel,94.66308,0.0
news,94.317063,0.0
republican,92.304057,0.0
the,92.156867,0.0
nbsp,86.728235,0.0
feelings,84.748751,0.0
police,83.774103,0.0
president,83.29808,0.0
gun,83.288279,0.0
mods,81.884248,0.0
ive,81.492002,0.0
clinton,81.406395,0.0
therapy,81.039371,0.0
medication,80.501258,0.0
friend,80.397434,0.0
asexual,80.087209,0.0
politics,79.82287,0.0
therapist,79.803242,0.0
pain,79.800297,0.0
think,79.709146,0.0
acne,78.05901,0.0
iraq,76.651219,0.0
gop,75.941315,0.0
women,75.794013,0.0
law,73.555654,0.0
movies,71.019469,0.0
peerreviewed,70.995879,0.0
have,70.930619,0.0
husband,70.854678,0.0
american,70.366626,0.0
trailer,69.855448,0.0
weeks,68.819718,0.0
so,68.567826,0.0
iran,68.547507,0.0
hillary,67.980786,0.0
to,67.940831,0.0
state,66.699761,0.0
new,66.425679,0.0
makeup,66.414679,0.0
book,66.076148,0.0
alone,65.993612,0.0
bush,65.59228,0.0
go,65.549082,0.0
talk,65.314228,0.0
sleep,64.864114,0.0
partner,63.572456,0.0
link,63.375466,0.0
democrats,62.942488,0.0
meds,62.691662,0.0
evidence,62.392424,0.0
suicidal,62.257919,0.0
market,61.985571,0.0
campaign,61.568552,0.0
heroes,61.089271,0.0
everythingscience,60.951495,0.0
states,60.092297,0.0
attracted,59.136487,0.0
with,58.862417,0.0
panic,57.99583,0.0
cerave,57.799553,0.0
girlfriend,57.53598,0.0
mmr,57.473362,0.0
story,57.43801,0.0
him,57.112268,0.0
power,56.980556,0.0
california,56.978839,0.0
being,56.877892,0.0
rand,56.150345,0.0
medications,55.778112,0.0
nuclear,55.674545,0.0
congress,55.335103,0.0
actually,54.681153,0.0
conspiracy,54.677706,0.0
films,54.516486,0.0
having,54.293144,0.0
attractive,54.105906,0.0
diagnosed,54.013621,0.0
awful,53.931004,0.0
dating,53.78921,0.0
climate,53.713607,0.0
history,53.295062,0.0
dad,53.224384,0.0
federal,53.031952,0.0
paul,52.969298,0.0
released,52.963775,0.0
skin,52.910807,0.0
situations,52.898089,0.0
week,52.799075,0.0
economy,52.35256,0.0
doctors,52.270086,0.0
isis,51.797678,0.0
science,51.739253,0.0
election,51.56489,0.0
whenever,51.291897,0.0
design,50.634575,0.0
million,50.478073,0.0
mental,50.341444,0.0
parents,50.214913,0.0
america,49.912294,0.0
bill,49.732104,0.0
want,49.525516,0.0
girls,49.457411,0.0
keto,49.192979,0.0
security,49.091142,0.0
research,49.066875,0.0
sick,48.98795,0.0
lesbian,48.959028,0.0
global,48.629049,0.0
get,48.524313,0.0
mom,48.508145,0.0
lotion,48.435548,0.0
industry,48.082885,0.0
users,47.823246,0.0
media,47.6127,0.0
sleeping,47.289898,0.0
just,47.276349,0.0
world,47.142804,0.0
but,46.77405,0.0
experiences,46.515289,0.0
americans,46.477041,0.0
data,46.438683,0.0
bitcoin,46.399044,0.0
emotionally,46.311743,0.0
source,46.136994,0.0
cia,45.699219,0.0
china,45.673672,0.0
weapons,45.669224,0.0
review,45.617386,0.0
india,45.612807,0.0
had,45.449948,0.0
emotional,45.281937,0.0
national,45.059384,0.0
military,44.750491,0.0
russia,43.924709,0.0
uncomfortable,43.658398,0.0
emotions,42.932528,0.0
trump,42.320548,0.0
tax,42.307324,0.0
definitely,42.097022,0.0
even,41.951286,0.0
conservative,41.868397,0.0
system,41.761061,0.0
partners,41.373319,0.0
physically,41.364849,0.0
through,41.359073,0.0
depressive,41.274398,0.0
party,40.909075,0.0
zoloft,40.750499,0.0
sexual,40.558002,0.0
routine,40.520737,0.0
civil,40.482042,0.0
moisturizer,40.328901,0.0
conversations,40.21547,0.0
director,40.214323,0.0
bkb,40.0998,0.0
aha,39.65351,0.0
public,39.449828,0.0
yourself,39.249474,0.0
helps,39.106697,0.0
technology,38.902712,0.0
unhappy,38.809084,0.0
therapists,38.7715,0.0
political,38.738115,0.0
queer,38.487,0.0
problems,38.265533,0.0
nsa,37.964211,0.0
references,37.761657,0.0
army,37.701013,0.0
google,37.687032,0.0
policy,37.661506,0.0
prison,37.252382,0.0
senate,37.068062,0.0
antidepressants,37.053707,0.0
scientists,37.02459,0.0
help,36.385901,0.0
vegan,36.327669,0.0
asexuality,36.254686,0.0
scott,35.925324,0.0
action,35.916841,0.0
felt,35.911731,0.0
need,35.468892,0.0
mum,35.266821,0.0
crime,35.259268,0.0
pcos,35.142458,0.0
by,34.998865,0.0
billion,34.976044,0.0
com,34.885832,0.0
life,34.594245,0.0
girl,34.220312,0.0
female,34.054901,1e-08
psychiatrist,33.979435,1e-08
supportive,33.953748,1e-08
when,33.793608,1e-08
doctor,33.331823,1e-08
you,33.262803,1e-08
author,32.990728,1e-08
mass,32.905168,1e-08
microsoft,32.857868,1e-08
trying,32.694811,1e-08
miserable,32.543045,1e-08
hair,32.479479,1e-08
syria,32.45133,1e-08
citizens,32.450384,1e-08
younger,32.376127,1e-08
supreme,32.213168,1e-08
tell,32.164163,1e-08
anxious,32.158512,1e-08
submitted,32.077141,1e-08
anyway,31.700538,2e-08
unattractive,31.678961,2e-08
killed,31.676231,2e-08
ex,31.537463,2e-08
family,31.528507,2e-08
happy,31.513068,2e-08
washington,31.248797,2e-08
israeli,31.067745,2e-08
severe,30.87575,3e-08
corporate,30.753385,3e-08
court,30.734041,3e-08
like,30.688262,3e-08
dota,30.569309,3e-08
chronic,30.32908,4e-08
tired,30.142916,4e-08
sunscreen,30.113285,4e-08
person,30.098378,4e-08
try,30.073909,4e-08
cm,29.881665,5e-08
cry,29.875661,5e-08
divorced,29.661625,5e-08
report,29.659769,5e-08
shelly,29.282824,6e-08
symptoms,29.22497,6e-08
launch,29.130652,7e-08
together,29.096987,7e-08
us,29.012704,7e-08
illness,28.984441,7e-08
hugs,28.968886,7e-08
realize,28.963985,7e-08
economic,28.954001,7e-08
shawn,28.909053,8e-08
personality,28.719501,8e-08
fetish,28.681399,9e-08
democratic,28.545435,9e-08
officer,28.440836,1e-07
cope,28.430154,1e-07
ocd,28.397053,1e-07
conversation,28.359007,1e-07
attraction,28.258194,1.1e-07
fbi,28.221567,1.1e-07
poly,27.959731,1.2e-07
united,27.884614,1.3e-07
told,27.580637,1.5e-07
things,27.336636,1.7e-07
apple,27.249517,1.8e-07
difficult,27.23225,1.8e-07
rights,27.156739,1.9e-07
probably,27.071049,2e-07
aghs,26.711377,2.4e-07
counselling,26.690584,2.4e-07
pregnant,26.421332,2.7e-07
vaseline,26.314621,2.9e-07
boyfriends,26.311483,2.9e-07
diagnosis,26.173574,3.1e-07
mother,26.065748,3.3e-07
hydrox,26.009833,3.4e-07
mg,25.916535,3.6e-07
cleanser,25.739284,3.9e-07
laws,25.706378,4e-07
site,25.632835,4.1e-07
out,25.557931,4.3e-07
shes,25.217572,5.1e-07
til,25.148504,5.3e-07
psychologist,25.098098,5.4e-07
cheated,24.888791,6.1e-07
about,24.878866,6.1e-07
hero,24.835487,6.2e-07
much,24.791546,6.4e-07
la,24.707773,6.7e-07
prozac,24.536046,7.3e-07
carbon,24.447086,7.6e-07
months,24.421214,7.7e-07
bp,24.343823,8.1e-07
behaviour,24.267196,8.4e-07
really,24.076439,9.3e-07
calvin,23.992599,9.7e-07
better,23.903643,1.01e-06
diagnoses,23.865601,1.03e-06
exhausted,23.587417,1.19e-06
mood,23.465179,1.27e-06
sister,23.438254,1.29e-06
solar,23.402164,1.31e-06
lesbians,23.306222,1.38e-06
cbt,23.277332,1.4e-06
hope,23.242407,1.43e-06
appointment,23.154288,1.5e-06
stress,23.026434,1.6e-06
uhc,22.85906,1.74e-06
york,22.734299,1.86e-06
apnea,22.715908,1.88e-06
happiness,22.666741,1.93e-06
asleep,22.595211,2e-06
suicide,22.560544,2.04e-06
married,22.488837,2.11e-06
kayfabe,22.454081,2.15e-06
haha,22.424542,2.19e-06
aupair,22.103475,2.58e-06
comfortable,22.079082,2.62e-06
pimples,22.040105,2.67e-06
helped,21.98492,2.75e-06
upset,21.926837,2.83e-06
identity,21.91547,2.85e-06
friendships,21.760291,3.09e-06
prices,21.699753,3.19e-06
since,21.543322,3.46e-06
growth,21.424966,3.68e-06
melatonin,21.056379,4.46e-06
international,20.691999,5.39e-06
coping,20.605338,5.64e-06
greece,20.573882,5.74e-06
sexually,20.551477,5.8e-06
counseling,20.478476,6.03e-06
issues,20.414611,6.24e-06
kp,20.406259,6.26e-06
hurt,20.301106,6.62e-06
odst,20.284637,6.67e-06
male,20.182391,7.04e-06
prescription,20.161786,7.12e-06
worse,20.09965,7.35e-06
david,20.06148,7.5e-06
michaels,19.915865,8.09e-06
hobbes,19.866163,8.31e-06
breakup,19.806512,8.57e-06
friendship,19.763972,8.76e-06
nervous,19.737964,8.88e-06
brother,19.533802,9.88e-06
istick,19.48934,1.012e-05
find,19.423363,1.047e-05
cymbalta,19.420033,1.049e-05
childcare,19.27167,1.134e-05
gank,19.234807,1.156e-05
angry,19.216447,1.167e-05
anderz,19.214631,1.168e-05
feminine,19.148587,1.209e-05
also,19.041337,1.279e-05
other,18.767134,1.477e-05
school,18.751392,1.489e-05
mindcrack,18.721402,1.513e-05
extremely,18.532738,1.67e-05
situation,18.471869,1.724e-05
mkb,18.458756,1.736e-05
lipstick,18.362482,1.826e-05
relate,18.340869,1.847e-05
troll,18.18769,2.002e-05
masks,18.145113,2.047e-05
blink,18.138211,2.054e-05
counsellor,18.117607,2.077e-05
companies,18.107679,2.088e-05
awake,18.095876,2.101e-05
advice,18.093482,2.103e-05
nasa,18.038748,2.165e-05
union,17.994097,2.216e-05
feels,17.938545,2.282e-05
dispenser,17.834364,2.41e-05
exhausting,17.829575,2.416e-05
lonely,17.712705,2.569e-05
debate,17.70811,2.575e-05
pregnancy,17.668373,2.63e-05
ashamed,17.590648,2.739e-05
pill,17.589297,2.741e-05
awkward,17.501266,2.871e-05
physical,17.472001,2.916e-05
ehlersdanlos,17.459094,2.936e-05
usually,17.449682,2.95e-05
dosage,17.429012,2.982e-05
charlie,17.373906,3.07e-05
child,17.312602,3.171e-05
cars,17.275176,3.234e-05
been,17.236193,3.301e-05
neutrogena,17.223218,3.323e-05
sr,17.154423,3.446e-05
