,score,pval
my,548.165887,0.0
http,416.393198,0.0
depression,386.564676,0.0
obama,376.773867,0.0
me,373.609114,0.0
cant,364.385874,0.0
bernie,283.681206,0.0
submission,266.575789,0.0
government,265.985159,0.0
movie,265.449582,0.0
feeling,239.268659,0.0
anxiety,229.529872,0.0
war,227.79602,0.0
sanders,227.147848,0.0
vote,225.349945,0.0
republicans,215.995341,0.0
myself,211.518532,0.0
know,209.160731,0.0
israel,201.903959,0.0
feel,196.723355,0.0
nbsp,195.046855,0.0
article,194.802017,0.0
relationship,189.342469,0.0
she,188.816705,0.0
her,185.267922,0.0
republican,184.35357,0.0
clinton,182.399612,0.0
okay,177.059138,0.0
iraq,170.159156,0.0
im,168.481225,0.0
gop,167.524976,0.0
removed,162.429029,0.0
am,160.682473,0.0
president,160.431318,0.0
boyfriend,159.704273,0.0
peerreviewed,158.353848,0.0
and,156.631932,0.0
iran,152.769817,0.0
mods,151.559095,0.0
news,149.816152,0.0
film,148.575743,0.0
politics,147.422003,0.0
gun,146.688554,0.0
police,143.59086,0.0
trailer,142.665903,0.0
movies,139.330081,0.0
everythingscience,139.064634,0.0
democrats,137.850082,0.0
someone,136.218394,0.0
hillary,133.113642,0.0
because,131.538105,0.0
rand,127.058022,0.0
bush,124.745383,0.0
law,123.239279,0.0
sex,120.113677,0.0
sometimes,119.664591,0.0
states,119.260087,0.0
campaign,118.264039,0.0
disorder,117.279041,0.0
even,116.751662,0.0
congress,115.853322,0.0
conspiracy,113.517615,0.0
american,112.914812,0.0
nuclear,112.642306,0.0
depressed,112.22221,0.0
evidence,112.188868,0.0
the,110.195364,0.0
isis,108.54462,0.0
so,106.681944,0.0
ive,106.166126,0.0
climate,105.291931,0.0
new,104.309341,0.0
bitcoin,103.417661,0.0
global,103.348773,0.0
state,103.294483,0.0
book,103.075543,0.0
california,101.995978,0.0
market,100.982451,0.0
to,100.120665,0.0
friends,100.090957,0.0
political,99.879852,0.0
have,99.449199,0.0
released,98.507718,0.0
definitely,98.000118,0.0
feelings,96.238778,0.0
economy,94.766728,0.0
link,94.671996,0.0
story,94.478367,0.0
election,93.934209,0.0
husband,93.928145,0.0
india,91.750558,0.0
trump,91.657407,0.0
want,91.637985,0.0
therapy,91.096206,0.0
glad,90.702021,0.0
medication,90.029477,0.0
paul,89.109977,0.0
felt,88.902172,0.0
power,87.77859,0.0
pain,87.572126,0.0
weapons,87.505443,0.0
bill,86.660845,0.0
hes,86.11563,0.0
cia,86.069764,0.0
review,86.009721,0.0
parents,85.884351,0.0
with,82.203462,0.0
million,82.146165,0.0
relationships,81.326798,0.0
russia,81.219894,0.0
asexual,81.160988,0.0
tax,80.914958,0.0
had,80.831802,0.0
therapist,80.571056,0.0
media,79.698127,0.0
senate,79.284998,0.0
panic,78.677802,0.0
federal,78.483739,0.0
nsa,78.419217,0.0
security,78.172686,0.0
history,77.940377,0.0
alone,77.931473,0.0
conservative,77.666946,0.0
source,77.532307,0.0
science,77.44484,0.0
talk,77.382298,0.0
women,76.802866,0.0
helps,76.527375,0.0
americans,75.941051,0.0
design,75.618004,0.0
director,75.592019,0.0
him,75.441534,0.0
being,74.564819,0.0
go,74.304161,0.0
friend,73.682736,0.0
party,73.588229,0.0
world,73.067841,0.0
skin,72.013663,0.0
films,71.96745,0.0
references,71.41378,0.0
acne,71.301695,0.0
makeup,70.071317,0.0
national,69.948425,0.0
china,69.78098,0.0
research,69.460597,0.0
scientists,69.259832,0.0
think,69.036221,0.0
military,68.966241,0.0
syria,68.921567,0.0
technology,68.884263,0.0
having,68.543589,0.0
users,68.343103,0.0
meds,67.161027,0.0
data,67.061111,0.0
israeli,67.01995,0.0
prison,66.837886,0.0
but,66.813024,0.0
civil,66.340753,0.0
just,66.071746,0.0
scott,65.996969,0.0
partner,65.74079,0.0
action,65.63216,0.0
vegan,65.624813,0.0
public,65.132843,0.0
weeks,64.574719,0.0
sleep,64.451238,0.0
suicidal,63.012198,0.0
microsoft,62.592541,0.0
lesbian,62.556134,0.0
